지점,지점명,관리관서
90,속초,강원지방기상청
93,북춘천,춘천기상대
95,철원,강원지방기상청
98,동두천,수도권기상청
99,파주,수도권기상청
100,대관령,강원지방기상청
101,춘천,춘천기상대
104,북강릉,강원지방기상청
105,강릉,강원지방기상청
106,동해,강원지방기상청
108,서울,수도권기상청
112,인천,수도권기상청
114,원주,강원지방기상청
119,수원,수도권기상청
121,영월,강원지방기상청
127,충주,청주기상지청
129,서산,홍성기상대
130,울진,안동기상대
131,청주,청주기상지청
133,대전,대전지방기상청
135,추풍령,청주기상지청
136,안동,안동기상대
137,상주,대구지방기상청
138,포항,대구지방기상청
140,군산,전주기상지청
143,대구,대구지방기상청
146,전주,전주기상지청
152,울산,울산기상대
155,창원,창원기상대
156,광주,광주지방기상청
159,부산,부산지방기상청
162,통영,부산지방기상청
165,목포,목포기상대
168,여수,광주지방기상청
170,완도,목포기상대
172,고창,전주기상지청
174,순천,광주지방기상청
177,홍성,홍성기상대
192,진주,창원기상대
201,강화,인천기상대
202,양평,수도권기상청
203,이천,수도권기상청
211,인제,강원지방기상청
